Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Acrobatornis fonsecai,Pink-legged Graveteiro,17.56,10.35,62.88,2.96,3.6,23.2,56.64,7.1
Acropternis orthonyx,Ocellated Tapaculo,36.04,22.62,94.03,4.45,6.47,4.16,88.73,NA
Agriornis albicauda,White-tailed Shrike-Tyrant,39.67,32.35,141.28,7.03,8.98,24.88,113.12,14.78
Agriornis lividus,Great Shrike-Tyrant,37.64,35.23,128.06,7.1,8.39,21.52,106.47,15.52
Agriornis micropterus,Grey-bellied Shrike-Tyrant,33.79,32.76,118.89,6.3,7.83,24.48,99.64,15.53
Agriornis montanus,Black-billed Shrike-Tyrant,32.81,30.27,131.25,5.7,6.75,25.12,97.53,12.28
Agriornis murinus,Lesser Shrike-Tyrant,27.46,22.29,96.96,4.7,5.08,24.04,74.17,10.18
Myrmeciza goeldii,Goeldi's Antbird,33.78,24.49,87.49,5.32,6.34,9.95,69.55,11.53
Myrmeciza melanoceps,White-shouldered Antbird,32.19,24.48,86.23,5.71,6.57,7.01,63.06,NA
Alectrurus risora,Strange-tailed Tyrant,23.17,17.77,73,6.3,4.58,22.3,156.25,NA
Alectrurus tricolor,Cock-tailed Tyrant,19.4,14.9,67.25,5.72,4.95,22.33,47.75,NA
Myrmeciza pelzelni,Grey-bellied Antbird,22.98,17.78,56.82,3.69,3.89,6.86,45.57,8.2
Ampelioides tschudii,Scaled Fruiteater,20.73,22.93,100.05,7.17,7.13,23.94,64.2,16.32
Ampelion rubrocristatus,Red-crested Cotinga,23.97,20.66,113.06,5.8,7.02,24.76,82.78,14.23
Ampelion rufaxilla,Chestnut-crested Cotinga,21.15,19.8,117.62,4.92,5.17,28.8,79.5,16.26
Myrmeciza griseiceps,Grey-headed Antbird,23.52,17.95,59.29,3.9,3.64,5.89,56.25,NA
Anabacerthia amaurotis,White-browed Foliage-gleaner,19.39,18.47,76.06,4.07,4.87,15.71,71.09,NA
Philydor lichtensteini,Ochre-breasted Foliage-gleaner,18.73,16.85,78.37,3.71,5.16,17.51,73.25,NA
Philydor ruficaudatum,Rufous-tailed Foliage-gleaner,19.21,18.55,90.19,4.1,5.47,18.27,71.48,NA
Anabacerthia striaticollis,Montane Foliage-gleaner,19.62,18.8,87.82,3.82,5.79,18.91,74.94,8.92
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,19.04,16.92,84.24,3.6,5.07,18.25,70.06,9.1
Anabazenops dorsalis,Bamboo Foliage-gleaner,23.5,23.4,92.68,4.98,7.5,13.88,77,NA
Anabazenops fuscus,White-collared Foliage-gleaner,23.32,24.68,90.51,4.58,7.01,14.45,78.49,NA
Anairetes alpinus,Ash-breasted Tit-Tyrant,22.15,12.45,63.5,2.75,2.7,15.05,63,7
Anairetes fernandezianus,Juan Fernandez Tit-Tyrant,22.14,13.74,55.9,3.5,2.88,13.5,55.6,NA
Anairetes flavirostris,Yellow-billed Tit-Tyrant,18.3,10.7,48,2.98,3.12,12.93,51.75,NA
Anairetes nigrocristatus,Black-crested Tit-Tyrant,21.55,12.82,57.75,2.92,2.55,11,61.5,NA
Anairetes parulus,Tufted Tit-Tyrant,18.22,11.7,49.25,2.38,2.88,13.33,51.5,4.83
Anairetes reguloides,Pied-crested Tit-Tyrant,19.82,15.03,52.38,2.65,2.4,15.4,48,NA
Ancistrops strigilatus,Chestnut-winged Hookbill,22.84,23.3,93.49,5.14,7.02,18.12,72.2,NA
Antilophia bokermanni,Araripe Manakin,17.9,11.95,75.4,4.5,5.25,9.7,63.25,0.45
Antilophia galeata,Helmeted Manakin,18.2,14.2,77.25,4.05,4.62,12.27,59.75,10.82
Anumbius annumbi,Firewood-gatherer,24.32,19.5,81.42,3.8,4.71,20.53,81.6,NA
Aphanotriccus audax,Black-billed Flycatcher,15.27,13.85,54.58,5.25,3.4,16.77,45.8,8.8
Aphanotriccus capitalis,Tawny-chested Flycatcher,14.52,16.02,59.5,5,3.48,17.32,51.62,NA
Aphrastura masafuerae,Mas Afuera Rayadito,22.36,16.02,67.09,2.64,3.33,18.89,72.62,NA
Aphrastura spinicauda,Thorn-tailed Rayadito,19.89,13.46,59.44,2.54,3,20.52,75.6,NA
Myrmeciza disjuncta,Yapacana Antbird,24.68,18.62,58,4.03,4.1,8.4,48.33,7.1
Arundinicola leucocephala,White-headed Marsh Tyrant,16.88,17.04,60.14,6.08,5,13.32,46.92,NA
Asthenes anthoides,Austral Canastero,21.25,15.44,67.38,2.81,3.39,15.97,69,5.85
Schizoeaca vilcabambae,Vilcabamba Thistletail,23.87,NA,57.43,2.9,3.43,11.03,NA,NA
Asthenes baeri,Short-billed Canastero,19.44,12.54,58.98,2.64,3.73,12.26,68,6.65
Asthenes berlepschi,Berlepsch's Canastero,23.44,16.9,67.02,3,4.2,10,72.95,9.2
Schizoeaca coryi,Ochre-browed Thistletail,21.96,14.96,56.38,2.79,3.4,11.87,81.4,NA
Asthenes dorbignyi,Rusty-vented Canastero,22.96,14.97,66.61,2.98,3.79,12.62,72.71,6.71
Asthenes flammulata,Many-striped Canastero,24.4,16.94,61.99,3.09,3.75,9.59,70.9,7.4
Schizoeaca fuliginosa,White-chinned Thistletail,23.88,13.55,58.12,2.87,3.38,12.55,109,NA
Schizoeaca griseomurina,Mouse-colored Thistletail,24.61,14.37,59.14,3.09,3.39,10.24,107.33,NA
Schizoeaca harterti,Black-throated Thistletail,22.77,15.2,52.95,2.75,3.05,13.2,107,NA
Schizoeaca helleri,Puna Thistletail,22.97,15.26,52.6,2.52,3.15,13.22,97,NA
Asthenes heterura,Maquis Canastero,21.13,13.95,60.22,2.6,3.18,12.8,88.78,5.57
Asthenes hudsoni,Hudson's Canastero,23.93,18.34,73.88,3.23,4.34,15.78,72.8,7.45
Asthenes humilis,Streak-throated Canastero,25.21,17.5,71.42,3.04,3.74,10.71,64.4,6.17
Asthenes luizae,Cipo Canastero,24.45,14.4,70,2.8,4.15,11.2,86.5,5.1
Asthenes maculicauda,Scribble-tailed Canastero,22.53,16.6,57.88,2.88,3.45,11.35,81,5
Asthenes modesta,Cordilleran Canastero,22.86,16.18,67.96,2.73,3.41,11,70.5,6.38
Oreophylax moreirae,Itatiaia Spinetail,23.12,13.7,59.26,2.84,3.1,10.64,106.5,5.1
Asthenes ottonis,Rusty-fronted Canastero,21.61,14.64,59.17,2.63,3.33,10.95,95.7,6.12
Schizoeaca palpebralis,Eye-ringed Thistletail,24.08,16.15,57.93,2.87,3.33,11.33,114,NA
Schizoeaca perijana,Perija Thistletail,22.96,15.6,59.87,3.06,3.95,11.5,111.03,6
Asthenes pudibunda,Canyon Canastero,21.77,17.1,59.81,2.73,3.29,9.56,80.5,NA
Asthenes pyrrholeuca,Sharp-billed Canastero,19.45,13.54,59.06,2.53,2.97,17.95,80.11,5.78
Asthenes sclateri,Puna Canastero,24.31,14.7,71.23,3.02,3.63,15.17,91.5,8.34
Asthenes urubambensis,Line-fronted Canastero,25.32,15.8,58.1,3,3.52,12.45,87,NA
Schizoeaca vilcabambae,Vilcabamba Thistletail,26.43,13.95,61.6,3.01,3.44,12.85,102.55,NA
Asthenes virgata,Junin Canastero,24.73,17.1,66.87,3.34,3.96,7.85,89.27,NA
Asthenes wyatti,Streak-backed Canastero,24.11,16.68,65.07,2.84,3.51,12.28,71.8,6.42
Atalotriccus pilaris,Pale-eyed Pygmy Tyrant,15.56,13.1,41.2,3.38,2.62,8.78,33.7,NA
Attila bolivianus,White-eyed Attila,24.62,25.46,94.6,8,6.75,17.57,78.8,13.93
Attila cinnamomeus,Cinnamon Attila,22.42,22.64,86.4,6.97,6.2,9.07,77.6,NA
Attila citriniventris,Citron-bellied Attila,20.83,21,77.92,6.77,5.69,16.37,62.41,13.13
Attila phoenicurus,Rufous-tailed Attila,18.8,21.12,92.25,5.67,5.4,20.62,76.25,NA
Attila rufus,Grey-hooded Attila,25.62,29.43,92,7.12,6.42,13.45,73.5,14.68
Attila spadiceus,Bright-rumped Attila,23.96,22.3,84.72,7.01,6.24,14.77,66.95,13.47
Attila torridus,Ochraceous Attila,25.32,26.88,93.5,7.7,6.5,17.25,76.75,10.82
Automolus ochrolaemus,Buff-throated Foliage-gleaner,22.2,26,86,5.1,7.1,14,78,12.8
Automolus infuscatus,Olive-backed Foliage-gleaner,22.47,24,90.83,4.78,6.5,18.89,73.48,NA
Automolus lammi,Pernambuco Foliage-gleaner,22.62,21.98,90.31,4.84,7.04,15.23,80.8,9.57
Automolus leucophthalmus,White-eyed Foliage-gleaner,22.63,23.94,89.71,4.41,6.72,17.1,82.36,NA
Automolus melanopezus,Brown-rumped Foliage-gleaner,21.65,22.15,85.12,4.71,6.38,17.09,75.35,NA
Automolus ochrolaemus,Buff-throated Foliage-gleaner,23.08,22.63,87.08,4.73,6.24,17.48,76.11,12.23
Automolus paraensis,Para Foliage-gleaner,22.67,23.18,90.35,4.64,6.51,19.61,74.77,NA
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,23.22,23.8,87.17,5.05,6.41,13.35,81.5,NA
Hyloctistes subulatus,Eastern Woodhaunter,20.09,25.5,80.39,4.6,5.83,18.41,69.41,NA
Batara cinerea,Giant Antshrike,47.06,38.67,119.84,8.08,13.07,5.49,165.6,NA
Berlepschia rikeri,Point-tailed Palmcreeper,20.82,25.68,95.92,4.76,6.27,31.83,77.94,NA
Biatas nigropectus,White-bearded Antshrike,24.27,20.88,74.5,5.68,6.49,8.41,77.07,10.2
